model,domain,scc_id,scc_size,template,root,witness,bridge,affected_count,llm_calls,time,result_file
gpt-4o,cuad,scc_8,14,direct_mutex,cuad_BELLICUMPHARMACEUTICALS_INC_05_07_2019_E__cuad_BELLICUMPHARMACEUTICALS_INC_05_07_20_bacf7641__17,cuad_BELLICUMPHARMACEUTICALS_INC_05_07_2019_E__cuad_BELLICUMPHARMACEUTICALS_INC_05_07_20_bacf7641__13,,2,60,296.60127997398376,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad14_direct_mutex_critical_b60_1778868082.json
gpt-4o,cuad,scc_50,12,direct_mutex,cuad_ScansourceInc_20190822_10_K_EX_10_38_117__cuad_ScansourceInc_20190822_10_K_EX_10_38_22a79c1d__21,cuad_ScansourceInc_20190822_10_K_EX_10_38_117__cuad_ScansourceInc_20190822_10_K_EX_10_38_22a79c1d__26,,2,60,275.5985231399536,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad12_direct_mutex_critical_b60_1778868014.json
gpt-4o,debian,scc_8,12,direct_mutex,libecore-x1,libecore-input1,,2,57,159.49510192871094,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_direct_mutex_critical_b60_1778866221.json
gpt-4o,sec_ex21,scc_2,12,direct_mutex,us-cw-708556,us-cw-502062,,2,59,168.7341821193695,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_direct_mutex_critical_b60_1778867055.json
gpt-4o,bgb,scc_0,11,direct_mutex,bgb_311a,bgb_280,,2,52,191.06909799575806,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_direct_mutex_critical_b60_1778867548.json
gpt-4o,debian,scc_23,11,direct_mutex,node-parse-json,node-deep-equal,,2,55,150.96577501296997,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_direct_mutex_critical_b60_1778866221.json
gpt-4o,sec_ex21,scc_3,11,direct_mutex,us-cw-406176,us-cw-423245,,2,58,173.62228989601135,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_direct_mutex_critical_b60_1778866652.json
gpt-4o,sec_ex21,scc_7,10,direct_mutex,us-cw-515909,us-cw-1020294,,2,60,153.81014728546143,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_direct_mutex_critical_b60_1778866638.json
gpt-4o,bgb,scc_7,9,direct_mutex,bgb_559e,bgb_558,,2,59,320.4360809326172,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_direct_mutex_critical_b60_1778867138.json
gpt-4o,sec_ex21,scc_5,9,direct_mutex,us-cw-3682212,us-cw-3682811,,2,58,144.61453700065613,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_direct_mutex_critical_b60_1778866228.json
gpt-4o,cuad,scc_11,34,handoff_invariant,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__9,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__11.4.3,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__7.2,2,60,333.6160891056061,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_handoff_invariant_critical_b60_1778870959.json
gpt-4o,cuad,scc_39,28,temporal_gate,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__3.1,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__2.1,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__6,2,60,207.99131202697754,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_temporal_gate_critical_b60_1778870754.json
gpt-4o,bgb,scc_3,25,condition_trigger,bgb_505,bgb_491,bgb_514,2,56,191.78118419647217,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_condition_trigger_critical_b60_1778867752.json
gpt-4o,cuad,scc_17,25,handoff_invariant,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__4.2.2,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__13.1,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__7,2,60,371.7752249240875,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_handoff_invariant_critical_b60_1778870536.json
gpt-4o,cuad,scc_21,24,temporal_gate,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__6.7,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__2.2,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__9.2,2,60,261.71732902526855,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_temporal_gate_critical_b60_1778870158.json
gpt-4o,cuad,scc_28,20,condition_trigger,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__9.2.9,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__19.3,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__16.6,2,60,441.9958658218384,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_condition_trigger_critical_b60_1778869740.json
gpt-4o,cuad,scc_6,18,handoff_invariant,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__9,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__2,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__11,2,60,378.91031193733215,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_handoff_invariant_critical_b60_1778869144.json
gpt-4o,sec_ex21,scc_7,18,temporal_gate,us-cw-841126,us-cw-118216,us-cw-130,2,60,189.38780784606934,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_temporal_gate_critical_b60_1778867134.json
gpt-4o,cuad,scc_0,17,condition_trigger,cuad_AimmuneTherapeuticsInc_20200205_8_K_EX_1__cuad_AimmuneTherapeuticsInc_20200205_8_K__a14c0805__9.3.3,cuad_AimmuneTherapeuticsInc_20200205_8_K_EX_1__cuad_AimmuneTherapeuticsInc_20200205_8_K__a14c0805__9.4.2,cuad_AimmuneTherapeuticsInc_20200205_8_K_EX_1__cuad_AimmuneTherapeuticsInc_20200205_8_K__a14c0805__11,2,60,266.47658014297485,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad17_condition_trigger_critical_b60_1778869061.json
gpt-4o,cuad,scc_23,16,handoff_invariant,cuad_CoherusBiosciencesInc_20200227_10_K_EX_1__cuad_CoherusBiosciencesInc_20200227_10_K__a1c18676__9.6,cuad_CoherusBiosciencesInc_20200227_10_K_EX_1__cuad_CoherusBiosciencesInc_20200227_10_K__a1c18676__4.1.1,cuad_CoherusBiosciencesInc_20200227_10_K_EX_1__cuad_CoherusBiosciencesInc_20200227_10_K__a1c18676__12.3,2,60,326.39883303642273,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad16_handoff_invariant_critical_b60_1778868286.json
gpt-4o,cuad,scc_8,14,temporal_gate,cuad_BELLICUMPHARMACEUTICALS_INC_05_07_2019_E__cuad_BELLICUMPHARMACEUTICALS_INC_05_07_20_bacf7641__17,cuad_BELLICUMPHARMACEUTICALS_INC_05_07_2019_E__cuad_BELLICUMPHARMACEUTICALS_INC_05_07_20_bacf7641__13,cuad_BELLICUMPHARMACEUTICALS_INC_05_07_2019_E__cuad_BELLICUMPHARMACEUTICALS_INC_05_07_20_bacf7641__2.11,2,60,342.64556407928467,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad14_temporal_gate_critical_b60_1778868182.json
gpt-4o,cuad,scc_50,12,condition_trigger,cuad_ScansourceInc_20190822_10_K_EX_10_38_117__cuad_ScansourceInc_20190822_10_K_EX_10_38_22a79c1d__21,cuad_ScansourceInc_20190822_10_K_EX_10_38_117__cuad_ScansourceInc_20190822_10_K_EX_10_38_22a79c1d__26,cuad_ScansourceInc_20190822_10_K_EX_10_38_117__cuad_ScansourceInc_20190822_10_K_EX_10_38_22a79c1d__4,2,60,276.41252398490906,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad12_condition_trigger_critical_b60_1778868063.json
gpt-4o,debian,scc_8,12,handoff_invariant,libecore-x1,libecore-input1,libevas1-engines-x,2,59,157.3218810558319,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_handoff_invariant_critical_b60_1778866221.json
gpt-4o,sec_ex21,scc_4,12,temporal_gate,us-cw-708556,us-cw-502062,us-cw-911364,2,58,206.4426670074463,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_temporal_gate_critical_b60_1778867067.json
gpt-4o,bgb,scc_0,11,condition_trigger,bgb_311a,bgb_280,bgb_347,2,56,215.94601607322693,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_condition_trigger_critical_b60_1778867585.json
gpt-4o,debian,scc_23,11,handoff_invariant,node-parse-json,node-deep-equal,node-tape,2,57,145.78968214988708,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_handoff_invariant_critical_b60_1778866221.json
gpt-4o,sec_ex21,scc_1,11,temporal_gate,us-cw-406176,us-cw-423245,us-cw-74754,2,59,180.51474571228027,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_temporal_gate_critical_b60_1778866682.json
gpt-4o,sec_ex21,scc_2,10,condition_trigger,us-cw-515909,us-cw-1020294,us-cw-515912,2,60,155.39109206199646,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_condition_trigger_critical_b60_1778866647.json
gpt-4o,bgb,scc_7,9,handoff_invariant,bgb_559e,bgb_558,bgb_555d,2,59,250.99414706230164,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_handoff_invariant_critical_b60_1778867159.json
gpt-4o,sec_ex21,scc_1,9,temporal_gate,us-cw-3682212,us-cw-3682811,us-cw-3682211,2,56,185.22025084495544,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_temporal_gate_critical_b60_1778866629.json
gemini-2.5-flash,cuad,scc_11,34,direct_mutex,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__9,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__11.4.3,,2,55,311.5615186691284,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_direct_mutex_critical_b60_1778870829.json
gemini-2.5-flash,cuad,scc_39,28,direct_mutex,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__3.1,cuad_MANUFACTURERSSERVICESLTD_06_05_2000_EX_1__cuad_MANUFACTURERSSERVICESLTD_06_05_2000__dccdb230__2.1,,2,60,254.04940700531006,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_direct_mutex_critical_b60_1778870607.json
gemini-2.5-flash,bgb,scc_3,25,direct_mutex,bgb_505,bgb_491,,2,56,218.2566032409668,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_direct_mutex_critical_b60_1778867640.json
gemini-2.5-flash,cuad,scc_17,25,direct_mutex,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__4.2.2,cuad_CERES_INC_01_25_2012_EX_10_20_Collaborat__cuad_CERES_INC_01_25_2012_EX_10_20_Collab_836bcf4c__13.1,,2,60,272.35966420173645,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_direct_mutex_critical_b60_1778870199.json
gemini-2.5-flash,cuad,scc_21,24,direct_mutex,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__6.7,cuad_ChinaRealEstateInformationCorp_20090929___cuad_ChinaRealEstateInformationCorp_20090_cde1bad6__2.2,,2,60,239.6987988948822,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_direct_mutex_critical_b60_1778869827.json
gemini-2.5-flash,cuad,scc_28,20,direct_mutex,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__9.2.9,cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_10___cuad_GOOSEHEADINSURANCE_INC_04_02_2018_EX_05df4e9e__19.3,,2,60,362.99630784988403,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_direct_mutex_critical_b60_1778869652.json
gemini-2.5-flash,cuad,scc_6,18,direct_mutex,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__9,cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_EX___cuad_AzulSa_20170303_F_1A_EX_10_3_9943903_ef785c62__2,,2,60,297.19686794281006,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_direct_mutex_critical_b60_1778869070.json
gemini-2.5-flash,sec_ex21,scc_3,18,direct_mutex,us-cw-841126,us-cw-118216,,2,60,208.34112405776978,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_direct_mutex_critical_b60_1778867080.json
gemini-2.5-flash,cuad,scc_0,17,direct_mutex,cuad_AimmuneTherapeuticsInc_20200205_8_K_EX_1__cuad_AimmuneTherapeuticsInc_20200205_8_K__a14c0805__9.3.3,cuad_AimmuneTherapeuticsInc_20200205_8_K_EX_1__cuad_AimmuneTherapeuticsInc_20200205_8_K__a14c0805__9.4.2,,2,60,241.17738699913025,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad17_direct_mutex_critical_b60_1778868890.json
gemini-2.5-flash,cuad,scc_23,16,direct_mutex,cuad_CoherusBiosciencesInc_20200227_10_K_EX_1__cuad_CoherusBiosciencesInc_20200227_10_K__a1c18676__9.6,cuad_CoherusBiosciencesInc_20200227_10_K_EX_1__cuad_CoherusBiosciencesInc_20200227_10_K__a1c18676__4.1.1,,2,60,275.76619577407837,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad16_direct_mutex_critical_b60_1778868285.json
gemini-2.5-flash,cuad,scc_8,14,direct_mutex,cuad_BELLICUMPHARMACEUTICALS_INC_05_07_2019_E__cuad_BELLICUMPHARMACEUTICALS_INC_05_07_20_bacf7641__17,cuad_BELLICUMPHARMACEUTICALS_INC_05_07_2019_E__cuad_BELLICUMPHARMACEUTICALS_INC_05_07_20_bacf7641__13,,2,60,296.60127997398376,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad14_direct_mutex_critical_b60_1778868082.json
gemini-2.5-flash,cuad,scc_50,12,direct_mutex,cuad_ScansourceInc_20190822_10_K_EX_10_38_117__cuad_ScansourceInc_20190822_10_K_EX_10_38_22a79c1d__21,cuad_ScansourceInc_20190822_10_K_EX_10_38_117__cuad_ScansourceInc_20190822_10_K_EX_10_38_22a79c1d__26,,2,60,275.5985231399536,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad12_direct_mutex_critical_b60_1778868014.json
gemini-2.5-flash,debian,scc_8,12,direct_mutex,libecore-x1,libecore-input1,,2,57,159.49510192871094,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_direct_mutex_critical_b60_1778866221.json
gemini-2.5-flash,sec_ex21,scc_2,12,direct_mutex,us-cw-708556,us-cw-502062,,2,59,168.7341821193695,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_direct_mutex_critical_b60_1778867055.json
