case_id,domain,domain_label,scc_id,scc_size,model,template,template_label,severity,root_node,root_label,witness_node,witness_label,affected_nodes,sa_core_nodes,naive_subgraph_nodes,context_nodes,oc_nodes,sa_root_at_3,sa_risk_any,sa_risk_all,sa_compression,naive_error,naive_root_at_3,naive_risk_any,naive_risk_all,naive_compression,label_is_structural_conflict,label_relevant_risk_nodes,label_core_is_sufficient_for_repair,label_comments
candidate_011_sec_ex21_10_gemini-2.5-pro_condition_trigger,sec_ex21,SEC EX-21 subsidiaries,scc_5,10,gemini-2.5-pro,condition_trigger,Condition trigger,critical,us-cw-515909,Nielsen Co (Mauritius) Ltd,us-cw-1020294,TNC (US) Holdings Inc,us-cw-712455;us-cw-749750,us-cw-1011764;us-cw-1020294;us-cw-749750;us-cw-749751;us-cw-997003,us-cw-515909;us-cw-712455;us-cw-515912;us-cw-997003;us-cw-1020294,us-cw-1011764;us-cw-1020294;us-cw-749750;us-cw-749751;us-cw-997003,us-cw-1011764;us-cw-1020294,True,True,False,0.5,,True,True,True,0.5,,,,
candidate_012_sec_ex21_10_gemini-2.5-pro_temporal_gate,sec_ex21,SEC EX-21 subsidiaries,scc_2,10,gemini-2.5-pro,temporal_gate,Temporal gate,critical,us-cw-515909,Nielsen Co (Mauritius) Ltd,us-cw-1020294,TNC (US) Holdings Inc,us-cw-712455;us-cw-749750,us-cw-1011764;us-cw-1020294;us-cw-121873;us-cw-749749;us-cw-749750,us-cw-515909;us-cw-712455;us-cw-515912;us-cw-997003;us-cw-1020294,us-cw-1011764;us-cw-1020294;us-cw-121873;us-cw-749749;us-cw-749750,us-cw-1020294,True,True,False,0.5,,True,True,True,0.5,,,,
candidate_013_sec_ex21_10_gpt-4o_condition_trigger,sec_ex21,SEC EX-21 subsidiaries,scc_2,10,gpt-4o,condition_trigger,Condition trigger,critical,us-cw-515909,Nielsen Co (Mauritius) Ltd,us-cw-1020294,TNC (US) Holdings Inc,us-cw-712455;us-cw-749750,us-cw-1011764;us-cw-1020294;us-cw-749750;us-cw-749751;us-cw-997003,us-cw-1020294;us-cw-1011764;us-cw-997003;us-cw-515909;us-cw-121873,us-cw-1011764;us-cw-1020294;us-cw-749750;us-cw-749751;us-cw-997003,us-cw-1020294;us-cw-515909,True,True,False,0.5,,True,True,True,0.5,,,,
candidate_014_sec_ex21_10_gpt-4o_direct_mutex,sec_ex21,SEC EX-21 subsidiaries,scc_7,10,gpt-4o,direct_mutex,Direct mutual exclusion,critical,us-cw-515909,Nielsen Co (Mauritius) Ltd,us-cw-1020294,TNC (US) Holdings Inc,us-cw-712455;us-cw-749750,us-cw-1011764;us-cw-1020294;us-cw-749750;us-cw-749751;us-cw-997003,us-cw-1020294;us-cw-1011764,us-cw-1011764;us-cw-1020294;us-cw-749750;us-cw-749751;us-cw-997003,us-cw-1020294;us-cw-515909,True,True,False,0.5,,True,True,False,0.8,,,,
candidate_015_sec_ex21_10_gpt-4o_handoff_invariant,sec_ex21,SEC EX-21 subsidiaries,scc_5,10,gpt-4o,handoff_invariant,Handoff invariant,critical,us-cw-515909,Nielsen Co (Mauritius) Ltd,us-cw-1020294,TNC (US) Holdings Inc,us-cw-712455;us-cw-749750,us-cw-1011764;us-cw-1020294;us-cw-749750;us-cw-749751;us-cw-997003,us-cw-1020294;us-cw-1011764,us-cw-1011764;us-cw-1020294;us-cw-749750;us-cw-749751;us-cw-997003,us-cw-1020294;us-cw-515909,True,True,False,0.5,,True,True,False,0.8,,,,
candidate_016_sec_ex21_10_gpt-4o_temporal_gate,sec_ex21,SEC EX-21 subsidiaries,scc_2,10,gpt-4o,temporal_gate,Temporal gate,critical,us-cw-515909,Nielsen Co (Mauritius) Ltd,us-cw-1020294,TNC (US) Holdings Inc,us-cw-712455;us-cw-749750,us-cw-1011764;us-cw-1020294;us-cw-749750;us-cw-749751;us-cw-997003,us-cw-1020294;us-cw-1011764;us-cw-997003,us-cw-1011764;us-cw-1020294;us-cw-749750;us-cw-749751;us-cw-997003,us-cw-1020294;us-cw-515909,True,True,False,0.5,,False,True,False,0.7,,,,
candidate_017_bgb_25_deepseek-v3_temporal_gate,bgb,German Civil Code (BGB),scc_3,25,deepseek-v3,temporal_gate,Temporal gate,critical,bgb_505,§505 Geduldete Überziehung,bgb_491,§491 Verbraucherdarlehensvertrag,bgb_506;bgb_358,bgb_312g;bgb_327;bgb_327b;bgb_327n;bgb_327o;bgb_491a;bgb_495;bgb_505;bgb_504;bgb_506;bgb_507;bgb_513,bgb_495;bgb_491a;bgb_491;bgb_358;bgb_312g;bgb_506;bgb_504;bgb_356;bgb_514;bgb_505,bgb_312g;bgb_327;bgb_327b;bgb_327n;bgb_327o;bgb_491a;bgb_495;bgb_505;bgb_504;bgb_506;bgb_507;bgb_513,bgb_327;bgb_491;bgb_504;bgb_505;bgb_507,True,True,False,0.52,,False,True,True,0.6,,,,
candidate_018_bgb_25_gpt-4o_condition_trigger,bgb,German Civil Code (BGB),scc_3,25,gpt-4o,condition_trigger,Condition trigger,critical,bgb_505,§505 Geduldete Überziehung,bgb_491,§491 Verbraucherdarlehensvertrag,bgb_506;bgb_358,bgb_312g;bgb_327m;bgb_327n;bgb_358;bgb_360;bgb_491a;bgb_495;bgb_505;bgb_506;bgb_507;bgb_508;bgb_514,bgb_506;bgb_358;bgb_514;bgb_495;bgb_360,bgb_312g;bgb_327m;bgb_327n;bgb_358;bgb_360;bgb_491a;bgb_495;bgb_505;bgb_506;bgb_507;bgb_508;bgb_514,bgb_491;bgb_495;bgb_505,False,True,False,0.52,,False,False,False,0.8,,,,
candidate_019_bgb_25_gpt-4o_handoff_invariant,bgb,German Civil Code (BGB),scc_3,25,gpt-4o,handoff_invariant,Handoff invariant,critical,bgb_505,§505 Geduldete Überziehung,bgb_491,§491 Verbraucherdarlehensvertrag,bgb_506;bgb_358,bgb_312g;bgb_327m;bgb_327n;bgb_356;bgb_358;bgb_491a;bgb_495;bgb_505;bgb_504;bgb_506;bgb_507;bgb_514,bgb_506;bgb_491;bgb_491a;bgb_508,bgb_312g;bgb_327m;bgb_327n;bgb_356;bgb_358;bgb_491a;bgb_495;bgb_505;bgb_504;bgb_506;bgb_507;bgb_514,bgb_505,True,True,False,0.52,,False,True,False,0.84,,,,
candidate_020_bgb_25_gpt-4o_temporal_gate,bgb,German Civil Code (BGB),scc_3,25,gpt-4o,temporal_gate,Temporal gate,critical,bgb_505,§505 Geduldete Überziehung,bgb_491,§491 Verbraucherdarlehensvertrag,bgb_506;bgb_358,bgb_312g;bgb_327m;bgb_327n;bgb_358;bgb_491a;bgb_495;bgb_505;bgb_504;bgb_506;bgb_507;bgb_508;bgb_514,bgb_506;bgb_491;bgb_495;bgb_508,bgb_312g;bgb_327m;bgb_327n;bgb_358;bgb_491a;bgb_495;bgb_505;bgb_504;bgb_506;bgb_507;bgb_508;bgb_514,bgb_505;bgb_507,False,True,False,0.52,,False,True,False,0.84,,,,
candidate_021_bgb_25_qwen2.5-72b_handoff_invariant,bgb,German Civil Code (BGB),scc_3,25,qwen2.5-72b,handoff_invariant,Handoff invariant,critical,bgb_505,§505 Geduldete Überziehung,bgb_491,§491 Verbraucherdarlehensvertrag,bgb_506;bgb_358,bgb_312f;bgb_312g;bgb_327m;bgb_327n;bgb_327o;bgb_356;bgb_491a;bgb_495;bgb_505;bgb_504;bgb_506;bgb_507,,bgb_312f;bgb_312g;bgb_327m;bgb_327n;bgb_327o;bgb_356;bgb_491a;bgb_495;bgb_505;bgb_504;bgb_506;bgb_507,bgb_506,True,True,False,0.52,Connection error.,,,,,,,,
candidate_022_bgb_11_deepseek-v3_temporal_gate,bgb,German Civil Code (BGB),scc_0,11,deepseek-v3,temporal_gate,Temporal gate,critical,bgb_311a,§311a Leistungshindernis bei Vertragsschluss,bgb_280,§280 Schadensersatz wegen Pflichtverletzung,bgb_326;bgb_281,bgb_281;bgb_282;bgb_326;bgb_311a;bgb_441,bgb_275;bgb_280;bgb_326;bgb_283,bgb_281;bgb_282;bgb_326;bgb_311a;bgb_441,bgb_346,True,True,False,0.5454545454545454,,False,True,False,0.6363636363636364,,,,
candidate_023_bgb_11_gpt-4o_temporal_gate,bgb,German Civil Code (BGB),scc_0,11,gpt-4o,temporal_gate,Temporal gate,critical,bgb_311a,§311a Leistungshindernis bei Vertragsschluss,bgb_280,§280 Schadensersatz wegen Pflichtverletzung,bgb_326;bgb_281,bgb_275;bgb_280;bgb_281;bgb_282;bgb_283,bgb_326;bgb_275;bgb_283;bgb_311a,bgb_275;bgb_280;bgb_281;bgb_282;bgb_283,,False,True,False,0.5454545454545454,,False,True,False,0.6363636363636364,,,,
candidate_024_bgb_9_deepseek-v3_temporal_gate,bgb,German Civil Code (BGB),scc_7,9,deepseek-v3,temporal_gate,Temporal gate,critical,bgb_559e,§559e Mieterhöhung nach Einbau oder Aufstellung einer Heizungsanlage,bgb_558,§558 Mieterhöhung bis zur ortsüblichen Vergleichsmiete,bgb_555c;bgb_559a,bgb_555c;bgb_555d;bgb_559;bgb_559b;bgb_559c,bgb_555c;bgb_555d;bgb_559;bgb_559b,bgb_555c;bgb_555d;bgb_559;bgb_559b;bgb_559c,bgb_559c,True,False,False,0.4444444444444444,,False,False,False,0.5555555555555556,,,,
candidate_025_cuad_34_deepseek-v3_direct_mutex,cuad,CUAD contracts,scc_11,34,deepseek-v3,direct_mutex,Direct mutual exclusion,critical,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__9,9,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__11.4.3,"3 neither Ginkgo nor its Affiliates have granted, and Ginkgo and its Affiliates will not grant, any liens or security interest on any assets, including Intellectual Property, that would limit the scope of any rights or licenses granted to BLI hereunder.",cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__9.2;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__12.4.2,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__1;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__1.115;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__1.19;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__1.25;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__10;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__11;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__11.2;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__13.1;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__13.2;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__13.3.7;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__2.8;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__3.9;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__4.1;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__5.3;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__6.2;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__8.2,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__9;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__13.1;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__1.115;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__3.9;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__4.1;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__5.3;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__5.4,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__1;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__1.115;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__1.19;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__1.25;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__10;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__11;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__11.2;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__13.1;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__13.2;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__13.3.7;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__2.8;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__3.9;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__4.1;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__5.3;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__6.2;cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__8.2,cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10_12_C__cuad_BERKELEYLIGHTS_INC_06_26_2020_EX_10__b90caf8e__3.9,False,False,False,0.5294117647058824,,True,True,False,0.7941176470588236,,,,
