subset,canonical_case_order,case_id,canonical_domain,canonical_scc_id,canonical_scc_size,canonical_scc_size_bin,canonical_template
long20,29,29_bgb25_scc_3_temporal_gate,bgb,scc_3,25,large (20-34),bgb_temporal_grace_period_gate_critical
long20,30,30_cuad25_scc_17_condition_trigger,cuad,scc_17,25,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical
long20,31,31_cuad25_scc_17_handoff_invariant,cuad,scc_17,25,large (20-34),cuad_handoff_invariant_payment_status_critical
long20,32,32_cuad25_scc_17_temporal_gate,cuad,scc_17,25,large (20-34),cuad_temporal_notice_receipt_gate_critical
long20,33,33_cuad24_scc_21_condition_trigger,cuad,scc_21,24,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical
long20,34,34_cuad24_scc_21_handoff_invariant,cuad,scc_21,24,large (20-34),cuad_handoff_invariant_payment_status_critical
long20,35,35_cuad24_scc_21_temporal_gate,cuad,scc_21,24,large (20-34),cuad_temporal_notice_receipt_gate_critical
long20,36,36_cuad20_scc_28_condition_trigger,cuad,scc_28,20,large (20-34),cuad_condition_trigger_unconfirmed_exception_critical
long20,37,37_cuad20_scc_28_handoff_invariant,cuad,scc_28,20,large (20-34),cuad_handoff_invariant_payment_status_critical
long20,38,38_cuad20_scc_28_temporal_gate,cuad,scc_28,20,large (20-34),cuad_temporal_notice_receipt_gate_critical
long20,39,39_sec_ex2118_scc_1_handoff_invariant,sec_ex21,scc_1,18,medium (12-18),sec_handoff_invariant_control_basis_critical
long20,40,40_sec_ex2118_scc_7_temporal_gate,sec_ex21,scc_7,18,medium (12-18),sec_temporal_quarter_close_gate_critical
midshort40,41,41_cuad18_scc_6_condition_trigger,cuad,scc_6,18,medium (12-18),cuad_condition_trigger_unconfirmed_exception_critical
midshort40,42,42_cuad18_scc_6_handoff_invariant,cuad,scc_6,18,medium (12-18),cuad_handoff_invariant_payment_status_critical
midshort40,43,43_cuad18_scc_6_temporal_gate,cuad,scc_6,18,medium (12-18),cuad_temporal_notice_receipt_gate_critical
midshort40,44,44_sec_ex2118_scc_3_condition_trigger,sec_ex21,scc_3,18,medium (12-18),sec_condition_trigger_unfiled_amendment_critical
midshort40,45,45_cuad17_scc_0_condition_trigger,cuad,scc_0,17,medium (12-18),cuad_condition_trigger_unconfirmed_exception_critical
midshort40,46,46_cuad17_scc_0_handoff_invariant,cuad,scc_0,17,medium (12-18),cuad_handoff_invariant_payment_status_critical
midshort40,47,47_cuad17_scc_0_temporal_gate,cuad,scc_0,17,medium (12-18),cuad_temporal_notice_receipt_gate_critical
midshort40,48,48_cuad16_scc_23_condition_trigger,cuad,scc_23,16,medium (12-18),cuad_condition_trigger_unconfirmed_exception_critical
midshort40,49,49_cuad16_scc_23_handoff_invariant,cuad,scc_23,16,medium (12-18),cuad_handoff_invariant_payment_status_critical
midshort40,50,50_cuad16_scc_23_temporal_gate,cuad,scc_23,16,medium (12-18),cuad_temporal_notice_receipt_gate_critical
midshort40,51,51_cuad14_scc_8_condition_trigger,cuad,scc_8,14,medium (12-18),cuad_condition_trigger_unconfirmed_exception_critical
midshort40,52,52_cuad14_scc_8_handoff_invariant,cuad,scc_8,14,medium (12-18),cuad_handoff_invariant_payment_status_critical
midshort40,53,53_cuad14_scc_8_temporal_gate,cuad,scc_8,14,medium (12-18),cuad_temporal_notice_receipt_gate_critical
midshort40,54,54_cuad12_scc_50_condition_trigger,cuad,scc_50,12,medium (12-18),cuad_condition_trigger_unconfirmed_exception_critical
midshort40,55,55_cuad12_scc_50_handoff_invariant,cuad,scc_50,12,medium (12-18),cuad_handoff_invariant_payment_status_critical
midshort40,56,56_cuad12_scc_50_temporal_gate,cuad,scc_50,12,medium (12-18),cuad_temporal_notice_receipt_gate_critical
midshort40,57,57_debian12_scc_8_condition_trigger,debian,scc_8,12,medium (12-18),debian_condition_trigger_partial_compatibility_critical
midshort40,58,58_debian12_scc_8_handoff_invariant,debian,scc_8,12,medium (12-18),debian_handoff_invariant_abi_class_critical
midshort40,59,59_debian12_scc_8_temporal_gate,debian,scc_8,12,medium (12-18),debian_temporal_receipt_gate_critical
midshort40,60,60_sec_ex2112_scc_2_condition_trigger,sec_ex21,scc_2,12,medium (12-18),sec_condition_trigger_unfiled_amendment_critical
midshort40,61,61_sec_ex2112_scc_4_handoff_invariant,sec_ex21,scc_4,12,medium (12-18),sec_handoff_invariant_control_basis_critical
midshort40,62,62_sec_ex2112_scc_4_temporal_gate,sec_ex21,scc_4,12,medium (12-18),sec_temporal_quarter_close_gate_critical
midshort40,63,63_bgb11_scc_0_condition_trigger,bgb,scc_0,11,small (9-11),bgb_condition_trigger_pending_notice_critical
midshort40,64,64_bgb11_scc_0_handoff_invariant,bgb,scc_0,11,small (9-11),bgb_handoff_invariant_cure_class_critical
midshort40,65,65_bgb11_scc_0_temporal_gate,bgb,scc_0,11,small (9-11),bgb_temporal_grace_period_gate_critical
midshort40,66,66_debian11_scc_23_condition_trigger,debian,scc_23,11,small (9-11),debian_condition_trigger_partial_compatibility_critical
midshort40,67,67_debian11_scc_23_handoff_invariant,debian,scc_23,11,small (9-11),debian_handoff_invariant_abi_class_critical
midshort40,68,68_debian11_scc_23_temporal_gate,debian,scc_23,11,small (9-11),debian_temporal_receipt_gate_critical
midshort40,69,69_sec_ex2111_scc_1_temporal_gate,sec_ex21,scc_1,11,small (9-11),sec_temporal_quarter_close_gate_critical
midshort40,70,70_sec_ex2111_scc_4_condition_trigger,sec_ex21,scc_4,11,small (9-11),sec_condition_trigger_unfiled_amendment_critical
midshort40,71,71_sec_ex2111_scc_7_handoff_invariant,sec_ex21,scc_7,11,small (9-11),sec_handoff_invariant_control_basis_critical
midshort40,72,72_sec_ex2110_scc_2_condition_trigger,sec_ex21,scc_2,10,small (9-11),sec_condition_trigger_unfiled_amendment_critical
midshort40,73,73_sec_ex2110_scc_2_temporal_gate,sec_ex21,scc_2,10,small (9-11),sec_temporal_quarter_close_gate_critical
midshort40,74,74_sec_ex2110_scc_5_handoff_invariant,sec_ex21,scc_5,10,small (9-11),sec_handoff_invariant_control_basis_critical
midshort40,75,75_bgb9_scc_7_condition_trigger,bgb,scc_7,9,small (9-11),bgb_condition_trigger_pending_notice_critical
midshort40,76,76_bgb9_scc_7_handoff_invariant,bgb,scc_7,9,small (9-11),bgb_handoff_invariant_cure_class_critical
midshort40,77,77_bgb9_scc_7_temporal_gate,bgb,scc_7,9,small (9-11),bgb_temporal_grace_period_gate_critical
midshort40,78,78_sec_ex219_scc_0_handoff_invariant,sec_ex21,scc_0,9,small (9-11),sec_handoff_invariant_control_basis_critical
midshort40,79,79_sec_ex219_scc_1_temporal_gate,sec_ex21,scc_1,9,small (9-11),sec_temporal_quarter_close_gate_critical
midshort40,80,80_sec_ex219_scc_6_condition_trigger,sec_ex21,scc_6,9,small (9-11),sec_condition_trigger_unfiled_amendment_critical
