case_order,case_id,model,domain,scc_id,scc_size,template,source_result_file,old_llm_calls,old_time_sec
18,18_sec_ex2110_scc_7_direct_mutex,gemini-2.5-flash,sec_ex21,scc_7,10,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_direct_mutex_critical_b60_1778866638.json,60,153.81014728546143
19,19_bgb9_scc_7_direct_mutex,gemini-2.5-flash,bgb,scc_7,9,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_direct_mutex_critical_b60_1778867138.json,59,320.4360809326172
20,20_sec_ex219_scc_5_direct_mutex,gemini-2.5-flash,sec_ex21,scc_5,9,direct_mutex,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_direct_mutex_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_direct_mutex_critical_b60_1778866228.json,58,144.61453700065613
21,21_cuad34_scc_11_handoff_invariant,gemini-2.5-flash,cuad,scc_11,34,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad34_handoff_invariant_critical_b60_1778870959.json,60,333.6160891056061
22,22_cuad28_scc_39_temporal_gate,gemini-2.5-flash,cuad,scc_39,28,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad28_temporal_gate_critical_b60_1778870754.json,60,207.99131202697754
23,23_bgb25_scc_3_condition_trigger,gemini-2.5-flash,bgb,scc_3,25,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb25_condition_trigger_critical_b60_1778867752.json,56,191.78118419647217
24,24_cuad25_scc_17_handoff_invariant,gemini-2.5-flash,cuad,scc_17,25,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad25_handoff_invariant_critical_b60_1778870536.json,60,371.7752249240875
25,25_cuad24_scc_21_temporal_gate,gemini-2.5-flash,cuad,scc_21,24,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad24_temporal_gate_critical_b60_1778870158.json,60,261.71732902526855
26,26_cuad20_scc_28_condition_trigger,gemini-2.5-flash,cuad,scc_28,20,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad20_condition_trigger_critical_b60_1778869740.json,60,441.9958658218384
27,27_cuad18_scc_6_handoff_invariant,gemini-2.5-flash,cuad,scc_6,18,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad18_handoff_invariant_critical_b60_1778869144.json,60,378.91031193733215
28,28_sec_ex2118_scc_7_temporal_gate,gemini-2.5-flash,sec_ex21,scc_7,18,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2118_temporal_gate_critical_b60_1778867134.json,60,189.38780784606934
29,29_cuad17_scc_0_condition_trigger,gemini-2.5-flash,cuad,scc_0,17,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad17_condition_trigger_critical_b60_1778869061.json,60,266.47658014297485
30,30_cuad16_scc_23_handoff_invariant,gemini-2.5-flash,cuad,scc_23,16,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad16_handoff_invariant_critical_b60_1778868286.json,60,326.39883303642273
31,31_cuad14_scc_8_temporal_gate,gemini-2.5-flash,cuad,scc_8,14,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad14_temporal_gate_critical_b60_1778868182.json,60,342.64556407928467
32,32_cuad12_scc_50_condition_trigger,gemini-2.5-flash,cuad,scc_50,12,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_cuad12_condition_trigger_critical_b60_1778868063.json,60,276.41252398490906
33,33_debian12_scc_8_handoff_invariant,gemini-2.5-flash,debian,scc_8,12,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian12_handoff_invariant_critical_b60_1778866221.json,59,157.3218810558319
34,34_sec_ex2112_scc_4_temporal_gate,gemini-2.5-flash,sec_ex21,scc_4,12,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2112_temporal_gate_critical_b60_1778867067.json,58,206.4426670074463
35,35_bgb11_scc_0_condition_trigger,gemini-2.5-flash,bgb,scc_0,11,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb11_condition_trigger_critical_b60_1778867585.json,56,215.94601607322693
36,36_debian11_scc_23_handoff_invariant,gemini-2.5-flash,debian,scc_23,11,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_debian11_handoff_invariant_critical_b60_1778866221.json,57,145.78968214988708
37,37_sec_ex2111_scc_1_temporal_gate,gemini-2.5-flash,sec_ex21,scc_1,11,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2111_temporal_gate_critical_b60_1778866682.json,59,180.51474571228027
38,38_sec_ex2110_scc_2_condition_trigger,gemini-2.5-flash,sec_ex21,scc_2,10,condition_trigger,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_condition_trigger_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex2110_condition_trigger_critical_b60_1778866647.json,60,155.39109206199646
39,39_bgb9_scc_7_handoff_invariant,gemini-2.5-flash,bgb,scc_7,9,handoff_invariant,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_handoff_invariant_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_bgb9_handoff_invariant_critical_b60_1778867159.json,59,250.99414706230164
40,40_sec_ex219_scc_1_temporal_gate,gemini-2.5-flash,sec_ex21,scc_1,9,temporal_gate,/Users/chenlong/.codex/worktrees/9c5f/MCGS_Law/experiments/cross_domain/results/battle_inject_memory_stress_temporal_gate_critical_directsubgraphnaive_relation_first_critical_paper_v3_b60_sec_ex219_temporal_gate_critical_b60_1778866629.json,56,185.22025084495544
